,ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）,address
310591,38206-5003-141.zip,202302131028,西条市禎瑞,70-2,,,西条市禎瑞70-2
310592,38206-5003-141.zip,202302131028,西条市禎瑞,71-1,,,西条市禎瑞71-1
310593,38206-5003-141.zip,202302131028,西条市禎瑞,71-2,,,西条市禎瑞71-2
310594,38206-5003-141.zip,202302131028,西条市禎瑞,71-3,,,西条市禎瑞71-3
310595,38206-5003-141.zip,202302131028,西条市禎瑞,71-4,,,西条市禎瑞71-4
310596,38206-5003-141.zip,202302131028,西条市禎瑞,72,,,西条市禎瑞72
310597,38206-5003-141.zip,202302131028,西条市禎瑞,73,,,西条市禎瑞73
310598,38206-5003-141.zip,202302131028,西条市禎瑞,74-1,,,西条市禎瑞74-1
310599,38206-5003-141.zip,202302131028,西条市禎瑞,74-2,,,西条市禎瑞74-2
310600,38206-5003-141.zip,202302131028,西条市禎瑞,75-1,,,西条市禎瑞75-1
310601,38206-5003-141.zip,202302131028,西条市禎瑞,76-1,,,西条市禎瑞76-1
310602,38206-5003-141.zip,202302131028,西条市禎瑞,76-2,,,西条市禎瑞76-2
310603,38206-5003-141.zip,202302131028,西条市禎瑞,76-3,,,西条市禎瑞76-3
310604,38206-5003-141.zip,202302131028,西条市禎瑞,77-1,,,西条市禎瑞77-1
310605,38206-5003-141.zip,202302131028,西条市禎瑞,78-1,,,西条市禎瑞78-1
310606,38206-5003-141.zip,202302131028,西条市禎瑞,79,,,西条市禎瑞79
310607,38206-5003-141.zip,202302131028,西条市禎瑞,80,,,西条市禎瑞80
310608,38206-5003-141.zip,202302131028,西条市禎瑞,81-1,,,西条市禎瑞81-1
310609,38206-5003-141.zip,202302131028,西条市禎瑞,81-3,,,西条市禎瑞81-3
310610,38206-5003-141.zip,202302131028,西条市禎瑞,96-1,,,西条市禎瑞96-1
310611,38206-5003-141.zip,202302131028,西条市禎瑞,96-2,,,西条市禎瑞96-2
310612,38206-5003-141.zip,202302131028,西条市禎瑞,97-1,,,西条市禎瑞97-1
310613,38206-5003-141.zip,202302131028,西条市禎瑞,97-2,,,西条市禎瑞97-2
310614,38206-5003-141.zip,202302131028,西条市禎瑞,126-1,,,西条市禎瑞126-1
310615,38206-5003-141.zip,202302131028,西条市禎瑞,174-1,,,西条市禎瑞174-1
310616,38206-5003-141.zip,202302131028,西条市禎瑞,175,,,西条市禎瑞175
310617,38206-5003-141.zip,202302131028,西条市禎瑞,176-1,,,西条市禎瑞176-1
310618,38206-5003-141.zip,202302131028,西条市禎瑞,177,,,西条市禎瑞177
310619,38206-5003-141.zip,202302131028,西条市禎瑞,178,,,西条市禎瑞178
310620,38206-5003-141.zip,202302131028,西条市禎瑞,179-2,,,西条市禎瑞179-2
310621,38206-5003-141.zip,202302131028,西条市禎瑞,179-3,,,西条市禎瑞179-3
310622,38206-5003-141.zip,202302131028,西条市禎瑞,180-2,,,西条市禎瑞180-2
310623,38206-5003-141.zip,202302131028,西条市禎瑞,181-2,,,西条市禎瑞181-2
310624,38206-5003-141.zip,202302131028,西条市禎瑞,181-3,,,西条市禎瑞181-3
310625,38206-5003-141.zip,202302131028,西条市禎瑞,182-2,,,西条市禎瑞182-2
310626,38206-5003-141.zip,202302131028,西条市禎瑞,183,,,西条市禎瑞183
310627,38206-5003-141.zip,202302131028,西条市禎瑞,184,,,西条市禎瑞184
310628,38206-5003-141.zip,202302131028,西条市禎瑞,185-2,,,西条市禎瑞185-2
310629,38206-5003-141.zip,202302131028,西条市禎瑞,185-3,,,西条市禎瑞185-3
310630,38206-5003-141.zip,202302131028,西条市禎瑞,186-2,,,西条市禎瑞186-2
310631,38206-5003-141.zip,202302131028,西条市禎瑞,192-1,,,西条市禎瑞192-1
310632,38206-5003-141.zip,202302131028,西条市禎瑞,192-2,,,西条市禎瑞192-2
310633,38206-5003-141.zip,202302131028,西条市禎瑞,233-1,,,西条市禎瑞233-1
310634,38206-5003-141.zip,202302131028,西条市禎瑞,233-2,,,西条市禎瑞233-2
310635,38206-5003-141.zip,202302131028,西条市禎瑞,233-5,,,西条市禎瑞233-5
310636,38206-5003-141.zip,202302131028,西条市禎瑞,250,,,西条市禎瑞250
310637,38206-5003-141.zip,202302131028,西条市禎瑞,251-1,,,西条市禎瑞251-1
310638,38206-5003-141.zip,202302131028,西条市禎瑞,251-2,,,西条市禎瑞251-2
310639,38206-5003-141.zip,202302131028,西条市禎瑞,251-3,,,西条市禎瑞251-3
310640,38206-5003-141.zip,202302131028,西条市禎瑞,251-4,,,西条市禎瑞251-4
310641,38206-5003-141.zip,202302131028,西条市禎瑞,252,,,西条市禎瑞252
310642,38206-5003-141.zip,202302131028,西条市禎瑞,253-1,,,西条市禎瑞253-1
310643,38206-5003-141.zip,202302131028,西条市禎瑞,253-2,,,西条市禎瑞253-2
310644,38206-5003-141.zip,202302131028,西条市禎瑞,253-3,,,西条市禎瑞253-3
310645,38206-5003-141.zip,202302131028,西条市禎瑞,254,,,西条市禎瑞254
310646,38206-5003-141.zip,202302131028,西条市禎瑞,255,,,西条市禎瑞255
310647,38206-5003-141.zip,202302131028,西条市禎瑞,256,,,西条市禎瑞256
310648,38206-5003-141.zip,202302131028,西条市禎瑞,257-2,,,西条市禎瑞257-2
310649,38206-5003-141.zip,202302131028,西条市禎瑞,257-3,,,西条市禎瑞257-3
310650,38206-5003-141.zip,202302131028,西条市禎瑞,257-4,,,西条市禎瑞257-4
310651,38206-5003-141.zip,202302131028,西条市禎瑞,257-5,,,西条市禎瑞257-5
